시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,성동구,기초,남자,75-79세,28 ,1 ,0 ,4 ,9 ,2 ,0 ,3 ,1 ,1 
서울,성동구,기초,남자,80-84세,31 ,0 ,2 ,4 ,7 ,4 ,1 ,1 ,2 ,1 
서울,성동구,기초,남자,85세이상,29 ,0 ,1 ,3 ,11 ,1 ,1 ,2 ,4 ,0 
서울,성동구,기초,여자,65세미만,12 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,1 ,1 
서울,성동구,기초,여자,65-69세,37 ,1 ,3 ,1 ,6 ,1 ,1 ,5 ,4 ,4 
서울,성동구,기초,여자,70-74세,38 ,3 ,1 ,6 ,13 ,1 ,1 ,2 ,4 ,3 
서울,성동구,기초,여자,75-79세,81 ,3 ,1 ,18 ,26 ,5 ,1 ,6 ,3 ,4 
서울,성동구,기초,여자,80-84세,132 ,6 ,7 ,15 ,44 ,17 ,2 ,10 ,12 ,2 
서울,성동구,기초,여자,85세이상,160 ,6 ,14 ,41 ,62 ,8 ,2 ,6 ,7 ,0 
서울,성동구,의료,남자,70-74세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,성동구,의료,남자,75-79세,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,성동구,의료,남자,80-84세,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
서울,성동구,의료,남자,85세이상,3 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0 
서울,성동구,의료,여자,65-69세,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
서울,성동구,의료,여자,70-74세,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,성동구,의료,여자,75-79세,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
서울,성동구,의료,여자,80-84세,8 ,0 ,2 ,0 ,3 ,0 ,1 ,1 ,0 ,0 
서울,성동구,의료,여자,85세이상,16 ,0 ,3 ,4 ,8 ,0 ,0 ,0 ,0 ,0 
서울,성동구,감경,남자,65세미만,24 ,0 ,2 ,9 ,5 ,1 ,0 ,0 ,0 ,0 
서울,성동구,감경,남자,65-69세,26 ,2 ,4 ,3 ,9 ,0 ,2 ,0 ,0 ,3 
서울,성동구,감경,남자,70-74세,46 ,5 ,4 ,16 ,10 ,5 ,2 ,1 ,1 ,0 
서울,성동구,감경,남자,75-79세,51 ,0 ,4 ,9 ,24 ,4 ,4 ,1 ,0 ,2 
서울,성동구,감경,남자,80-84세,65 ,3 ,6 ,11 ,32 ,8 ,3 ,0 ,1 ,0 
서울,성동구,감경,남자,85세이상,66 ,1 ,5 ,17 ,30 ,9 ,3 ,0 ,0 ,1 
서울,성동구,감경,여자,65세미만,16 ,3 ,2 ,3 ,5 ,0 ,0 ,1 ,0 ,0 
서울,성동구,감경,여자,65-69세,26 ,3 ,0 ,9 ,10 ,2 ,1 ,1 ,0 ,0 
서울,성동구,감경,여자,70-74세,60 ,4 ,7 ,18 ,20 ,3 ,2 ,0 ,0 ,1 
서울,성동구,감경,여자,75-79세,123 ,7 ,7 ,27 ,52 ,13 ,7 ,0 ,0 ,1 
서울,성동구,감경,여자,80-84세,204 ,5 ,9 ,54 ,91 ,24 ,12 ,2 ,1 ,1 
서울,성동구,감경,여자,85세이상,345 ,15 ,26 ,109 ,142 ,38 ,4 ,2 ,1 ,0 
서울,광진구,일반,남자,65세미만,50 ,6 ,4 ,2 ,10 ,1 ,0 ,7 ,4 ,2 
서울,광진구,일반,남자,65-69세,108 ,6 ,10 ,21 ,22 ,5 ,1 ,12 ,4 ,4 
서울,광진구,일반,남자,70-74세,144 ,2 ,6 ,36 ,44 ,5 ,1 ,9 ,5 ,4 
서울,광진구,일반,남자,75-79세,210 ,7 ,7 ,50 ,66 ,13 ,2 ,11 ,7 ,5 
서울,광진구,일반,남자,80-84세,322 ,8 ,12 ,84 ,110 ,23 ,14 ,17 ,7 ,4 
서울,광진구,일반,남자,85세이상,390 ,13 ,40 ,101 ,155 ,29 ,5 ,7 ,4 ,3 
서울,광진구,일반,여자,65세미만,45 ,1 ,1 ,12 ,11 ,0 ,0 ,7 ,1 ,3 
서울,광진구,일반,여자,65-69세,113 ,3 ,6 ,12 ,23 ,6 ,3 ,9 ,6 ,5 
서울,광진구,일반,여자,70-74세,236 ,11 ,13 ,38 ,53 ,13 ,3 ,24 ,11 ,4 
서울,광진구,일반,여자,75-79세,436 ,15 ,18 ,95 ,112 ,34 ,10 ,25 ,12 ,7 
서울,광진구,일반,여자,80-84세,722 ,18 ,37 ,168 ,261 ,61 ,14 ,35 ,14 ,3 
서울,광진구,일반,여자,85세이상,953 ,45 ,97 ,304 ,322 ,63 ,7 ,27 ,7 ,1 
서울,광진구,기초,남자,65세미만,48 ,2 ,3 ,6 ,11 ,6 ,2 ,2 ,4 ,3 
서울,광진구,기초,남자,65-69세,46 ,3 ,1 ,5 ,10 ,6 ,3 ,4 ,2 ,2 
서울,광진구,기초,남자,70-74세,40 ,1 ,5 ,2 ,19 ,1 ,1 ,1 ,1 ,5 
서울,광진구,기초,남자,75-79세,30 ,1 ,2 ,3 ,13 ,4 ,0 ,2 ,1 ,1 
서울,광진구,기초,남자,80-84세,42 ,0 ,3 ,10 ,15 ,6 ,2 ,0 ,2 ,1 
서울,광진구,기초,남자,85세이상,20 ,0 ,0 ,5 ,6 ,2 ,1 ,2 ,0 ,0 
서울,광진구,기초,여자,65세미만,25 ,1 ,4 ,2 ,10 ,0 ,1 ,1 ,0 ,0 
서울,광진구,기초,여자,65-69세,44 ,0 ,1 ,9 ,17 ,1 ,2 ,9 ,1 ,0 
서울,광진구,기초,여자,70-74세,65 ,2 ,1 ,4 ,27 ,6 ,2 ,5 ,5 ,1 
서울,광진구,기초,여자,75-79세,83 ,4 ,4 ,15 ,28 ,6 ,0 ,5 ,6 ,6 
서울,광진구,기초,여자,80-84세,113 ,1 ,11 ,25 ,45 ,9 ,1 ,5 ,5 ,2 
서울,광진구,기초,여자,85세이상,165 ,7 ,18 ,57 ,64 ,8 ,0 ,2 ,2 ,1 
서울,광진구,의료,남자,65세미만,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,광진구,의료,남자,65-69세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,광진구,의료,남자,70-74세,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
서울,광진구,의료,남자,75-79세,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
서울,광진구,의료,남자,80-84세,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
서울,광진구,의료,남자,85세이상,4 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
서울,광진구,의료,여자,65-69세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,광진구,의료,여자,70-74세,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,광진구,의료,여자,75-79세,3 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 
서울,광진구,의료,여자,80-84세,3 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
서울,광진구,의료,여자,85세이상,24 ,1 ,2 ,9 ,8 ,1 ,0 ,0 ,0 ,0 
서울,광진구,감경,남자,65세미만,29 ,3 ,3 ,8 ,8 ,4 ,0 ,0 ,0 ,1 
서울,광진구,감경,남자,65-69세,29 ,0 ,5 ,7 ,7 ,2 ,1 ,0 ,1 ,0 
서울,광진구,감경,남자,70-74세,57 ,2 ,4 ,18 ,22 ,6 ,0 ,1 ,0 ,0 
서울,광진구,감경,남자,75-79세,64 ,1 ,6 ,21 ,29 ,4 ,0 ,0 ,0 ,0 
서울,광진구,감경,남자,80-84세,79 ,1 ,4 ,17 ,42 ,9 ,1 ,0 ,0 ,0 
서울,광진구,감경,남자,85세이상,89 ,3 ,4 ,25 ,48 ,8 ,0 ,0 ,0 ,0 
서울,광진구,감경,여자,65세미만,24 ,3 ,4 ,4 ,5 ,3 ,0 ,0 ,0 ,0 
서울,광진구,감경,여자,65-69세,52 ,2 ,6 ,12 ,19 ,4 ,1 ,1 ,2 ,0 
서울,광진구,감경,여자,70-74세,76 ,3 ,3 ,24 ,36 ,3 ,2 ,1 ,0 ,1 
서울,광진구,감경,여자,75-79세,141 ,8 ,13 ,38 ,54 ,13 ,4 ,0 ,1 ,0 
서울,광진구,감경,여자,80-84세,304 ,10 ,26 ,88 ,140 ,22 ,5 ,1 ,0 ,0 
